Ref,Val,Package,PosX,PosY,Rot,Side
"C1","100nF","C_1206_3216Metric",27.650000,20.150000,0.000000,top
"C2","1uF","C_1206_3216Metric",40.000000,17.750000,0.000000,top
"C3","100nF","C_1206_3216Metric",40.000000,20.150000,0.000000,top
"C4","10nF","C_1206_3216Metric",34.500000,16.750000,0.000000,top
"C5","10nF","C_1206_3216Metric",34.500000,13.250000,0.000000,top
"C6","1uF","C_1206_3216Metric",47.500000,18.000000,0.000000,top
"C7","100nF","C_1206_3216Metric",47.500000,20.250000,0.000000,top
"C8","100nF","C_1206_3216Metric",27.700000,9.150000,0.000000,top
"C9","10nF","C_1206_3216Metric",34.750000,5.500000,0.000000,top
"C14","100nF","C_1206_3216Metric",11.250000,3.500000,90.000000,top
"C15","100nF","C_1206_3216Metric",21.650000,19.350000,90.000000,top
"C16","100nF","C_1206_3216Metric",21.650000,14.200000,-90.000000,top
"D1","BAV99","SOT-23",52.937500,10.500000,180.000000,top
"D2","BAV99","SOT-23",52.937500,7.100000,180.000000,top
"D3","Green LED","D_0805_2012Metric",8.750000,7.250000,0.000000,top
"FB1","120Ohm 3 A","L_1206_3216Metric",32.400000,20.150000,180.000000,top
"FB2","120Ohm 3 A","L_1206_3216Metric",32.450000,9.150000,180.000000,top
"H1","TC74VHC08F_EL,K,F_","SOIC127P780X190-14N",18.250000,5.812000,90.000000,top
"IC1","SN74LVC2G04DBVT","SN74LVC2G04DBV",16.850000,19.550000,0.000000,top
"IC2","MD1213K6-G","MD1213",28.150000,14.900000,0.000000,top
"IC3","TC6320TG-G","SOIC127P600X175-8N",44.500000,12.250000,0.000000,top
"IC4","SN74LVC2G04DBVT","SN74LVC2G04DBV",16.850000,14.800000,0.000000,top
"IC5","MD1213K6-G","MD1213",28.150000,4.400000,0.000000,top
"IC6","TC6320TG-G","SOIC127P600X175-8N",44.500000,5.500000,0.000000,top
"J1","AMPHENOL_132357-11","AMPHENOL_132357-11",62.101000,11.250000,180.000000,top
"J2","Conn_01x02","PinHeader_2x01_P2.54mm_Horizontal",6.540000,19.580000,180.000000,top
"J3","61300611021","PinHeader_1x06_P2.54mm_Horizontal",4.000000,1.800000,180.000000,top
"J4","Conn_01x03_Pin","PinHeader_1x03_P2.54mm_Vertical",58.000000,20.000000,-90.000000,top
"J6","Conn_01x02_Pin","PinHeader_1x02_P2.54mm_Vertical",52.920000,2.000000,90.000000,top
"R1","1K","R_1206_3216Metric",8.750000,9.500000,0.000000,top
"R2","10K","R_1206_3216Metric",10.650000,20.850000,0.000000,top
"R3","10K","R_1206_3216Metric",8.750000,15.750000,0.000000,top
"R4","10K","R_1206_3216Metric",8.750000,13.500000,0.000000,top
"REF**","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded","TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded",61.000000,11.250000,0.000000,top
