"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C16,C3,C15,C8,C14,C7,C1";"C_1206_3216Metric";7;"100nF";;;
2;"H1";"SOIC127P780X190-14N";1;"TC74VHC08F_EL,K,F_";;;
3;"J3";"PinHeader_1x06_P2.54mm_Horizontal";1;"61300611021";;;
4;"REF**";"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";1;"TestPoint_Loop_D1.80mm_Drill1.0mm_Beaded";;;
5;"IC2,IC5";"MD1213";2;"MD1213K6-G";;;
6;"C4,C9,C5";"C_1206_3216Metric";3;"10nF";;;
7;"FB1,FB2";"L_1206_3216Metric";2;"120Ohm 3 A";;;
8;"L1";"L_1206_3216Metric";1;"6.8uH";;;
9;"C12,C13,C6,C2";"C_1206_3216Metric";4;"1uF";;;
10;"PS1";"R2D0524P";1;"R2D-0524_P";;;
11;"mouse-bite-3mm-slot";"mouse-bite-3mm-slot";1;"VAL**";;;
12;"J2";"PinHeader_2x01_P2.54mm_Horizontal";1;"Conn_01x02";;;
13;"J6";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
14;"D1,D2";"SOT-23";2;"BAV99";;;
15;"D3";"D_0805_2012Metric";1;"Green LED";;;
16;"C10,C11";"C_1206_3216Metric";2;"4.7uF";;;
17;"IC1,IC4";"SN74LVC2G04DBV";2;"SN74LVC2G04DBVT";;;
18;"J4";"PinHeader_1x03_P2.54mm_Vertical";1;"Conn_01x03_Pin";;;
19;"R1";"R_1206_3216Metric";1;"1K";;;
20;"J1";"AMPHENOL_132357-11";1;"AMPHENOL_132357-11";;;
21;"IC3,IC6";"SOIC127P600X175-8N";2;"TC6320TG-G";;;
22;"R4,R2,R3";"R_1206_3216Metric";3;"10K";;;
23;"J5";"PinSocket_1x03_P2.54mm_Vertical";1;"Conn_01x03_Socket";;;
24;"J7";"PinSocket_1x02_P2.54mm_Vertical";1;"Conn_01x02_Socket";;;
